	Gene	IndModel.adj.pvals	IndModel.FC	Tissue
13037	CSRNP1	0.008348094	0.493381233	Ex
13038	AZU1	0.008351066	0.482552957	Ex
13039	ISM1	0.008364012	-0.269169356	Ex
13040	NLRC5	0.008364221	-0.089452572	Ex
13041	UBALD2	0.008365938	0.543663877	Ex
13042	PRR11	0.008391537	0.208254251	Ex
13043	CCDC9	0.008393933	-0.238861151	Ex
13044	WEE2	0.008433755	-1.144561277	Ex
13045	LEAP2	0.008437933	-0.056271641	Ex
13046	LRRIQ4	0.008466052	0.093742893	Ex
13047	SLC32A1	0.008494338	-0.191985009	Ex
13048	DDTL	0.008494338	-0.941515309	Ex
13049	IL23A	0.008510958	-0.644078009	Ex
13050	FERMT1	0.008530864	-0.056661167	Ex
13051	SKIDA1	0.008549085	0.128651938	Ex
13052	SCNN1D	0.008552175	0.665592608	Ex
13053	WNT6	0.008572488	-0.970193008	Ex
13054	CRYBB1	0.008582712	0.028817432	Ex
13055	KRTAP13-2	0.008584381	0.643889271	Ex
13056	GBGT1	0.008599478	-0.057353098	Ex
13057	SFTPA2	0.008599478	-0.510971651	Ex
13058	ANGPTL6	0.008599478	-0.146583579	Ex
13059	TEX28	0.008642174	-0.262883064	Ex
13060	TIMP4	0.00865566	-2.978583123	Ex
13061	SPANXA1	0.008703604	0.454209795	Ex
13062	P2RX1	0.008705379	-0.72350444	Ex
13063	SFRP1	0.008722693	-0.387112053	Ex
13064	ANKS1B	0.008769958	0.051445852	Ex
13065	CD8B	0.008774986	-0.611663065	Ex
13066	TNFRSF10D	0.008812746	-0.284686801	Ex
13067	CRAMP1	0.008839146	-0.165211839	Ex
13068	FZD1	0.008869463	0.844691706	Ex
13069	UNC13D	0.008884927	0.405450337	Ex
13070	NTRK3	0.008898065	0.162120057	Ex
13071	CD3G	0.008912363	0.102786433	Ex
13072	IGF1	0.008956735	0.162848997	Ex
13073	TMEM201	0.00898517	0.285810773	Ex
13074	CHRNB4	0.009013953	0.047007076	Ex
13075	SULT1C2	0.00901505	-0.66446005	Ex
13076	ROPN1B	0.009029376	-0.152319359	Ex
13077	AP000721.4	0.009032587	-0.235331255	Ex
13078	ARID3B	0.009038744	0.382410583	Ex
13079	PPP1R13L	0.009067928	0.34697036	Ex
13080	NKAIN2	0.009076425	0.1252974	Ex
13081	FAM69C	0.009076425	-0.178378793	Ex
13082	PLEKHG6	0.009083719	-0.210791674	Ex
13083	HIST2H2BF	0.009092326	0.169062864	Ex
13084	ZNF724P	0.009097124	0.05837569	Ex
13085	BPIFB4	0.009125856	-0.488387541	Ex
13086	MISP	0.009141247	-0.876200181	Ex
13087	LPAR5	0.009166113	-0.138900862	Ex
13088	CDT1	0.009166749	0.361469107	Ex
13089	CTHRC1	0.009177751	0.091661875	Ex
13090	FAM186B	0.009218668	-0.808078679	Ex
13091	BEST4	0.009259998	-0.412825962	Ex
13092	DUXA	0.009268934	-0.496145082	Ex
13093	GNB3	0.009290234	0.148344214	Ex
13094	SPATA16	0.009294964	-0.085687489	Ex
13095	FNDC7	0.009298069	-0.411275289	Ex
13096	FAM129C	0.009336678	-0.19604492	Ex
13097	EME2	0.009339642	0.639245694	Ex
13098	CRLF2	0.009340047	-0.22840066	Ex
13099	CDC20	0.009350428	0.149856119	Ex
13100	CUBN	0.009375049	0.407426358	Ex
13101	TMEM40	0.009394746	0.542019597	Ex
13102	TNS2	0.009400186	0.265989192	Ex
13103	MMP16	0.009410418	0.196463286	Ex
13104	TUBA3D	0.00942014	-1.103611411	Ex
13105	PDZD4	0.009460903	0.64452815	Ex
13106	ITGAM	0.009460903	-0.099032766	Ex
13107	GAL3ST3	0.009485083	0.355851129	Ex
13108	CLDN18	0.009523052	-1.260202604	Ex
13109	VASP	0.009571482	0.327004231	Ex
13110	BATF	0.009573463	0.321254861	Ex
13111	IQCF3	0.009588655	-0.092475583	Ex
13112	CTCFL	0.009596356	0.265530751	Ex
13113	ALPK2	0.009610013	-0.090159575	Ex
13114	OXR1	0.009705549	0.047823182	Ex
13115	GSDMD	0.009713486	-0.530069127	Ex
13116	RP11-166N6.3	0.009727953	-0.939642689	Ex
13117	CERS2	0.009733109	0.207783895	Ex
13118	SDR9C7	0.00983296	-0.371838678	Ex
13119	TIMP1	0.009861338	0.169996658	Ex
13120	BCAR1	0.009861804	0.43249935	Ex
13121	ZNF442	0.009920225	-0.142300662	Ex
13122	MAP4K1	0.009942407	0.017441545	Ex
13123	RP11-77K12.1	0.009972963	0.208512533	Ex
13124	SLAMF7	0.009984881	0.11628627	Ex
13125	CCL5	0.009998826	-0.913320799	Ex
13126	TMEM150B	0.01001721	-0.12132704	Ex
13127	HAPLN1	0.01002564	0.0701043	Ex
13128	PSTPIP2	0.010035865	0.14826423	Ex
13129	UPK1B	0.010071002	-0.003614583	Ex
13130	ZNF319	0.010076927	0.266571791	Ex
13131	WFS1	0.010096028	0.327152269	Ex
13132	AC007906.1	0.010098494	-0.769497744	Ex
13133	AMER1	0.010116904	0.271149465	Ex
13134	ALG10B	0.010189778	0.41852616	Ex
13135	FAM83H	0.010192171	0.37726457	Ex
13136	TSPAN6	0.010193361	-0.135918565	Ex
13137	H2AFJ	0.010200021	-0.168538872	Ex
13138	ADIRF	0.010206755	-0.544967924	Ex
13139	KCTD19	0.010212703	-0.237505266	Ex
13140	CDH19	0.010237933	0.126699467	Ex
13141	PRRG2	0.010282827	-0.146625302	Ex
13142	PKP1	0.010292469	1.010783259	Ex
13143	EIF5AL1	0.010294754	0.186174088	Ex
13144	PAPLN	0.010298536	-0.396979323	Ex
13145	HIST1H1E	0.010298562	-1.589383251	Ex
13146	FZD7	0.010364807	0.928604402	Ex
13147	ZNF628	0.010364807	-0.043510132	Ex
13148	IRAK1	0.010390625	0.20245596	Ex
13149	FAM26D	0.010390997	-1.848205827	Ex
13150	SH3BP4	0.010398806	0.382614885	Ex
13151	FBLL1	0.010399081	0.371965819	Ex
13152	DRC7	0.010404037	-0.232696592	Ex
13153	SMIM10	0.010431797	0.304264158	Ex
13154	SCML4	0.010436881	0.350737351	Ex
13155	ADH6	0.010443212	-1.072676435	Ex
13156	AOX1	0.010450751	-0.242766936	Ex
13157	FAM72B	0.010484472	-0.638668208	Ex
13158	PLPPR2	0.010485233	0.444755425	Ex
13159	TRIM7	0.010492737	0.292455608	Ex
13160	ETNPPL	0.010516038	-0.781767308	Ex
13161	TGM6	0.010528381	-0.354374164	Ex
13162	RIMS4	0.010528381	0.410956411	Ex
13163	SMYD3	0.010535004	0.096746597	Ex
13164	SPSB4	0.010538997	0.069650294	Ex
13165	C1QTNF2	0.010641953	-0.218798158	Ex
13166	FAM24B	0.010656463	-0.235885246	Ex
13167	RPL36A-HNRNPH2	0.010667387	-0.009888153	Ex
13168	BMI1	0.010695228	0.233286774	Ex
13169	MAPKAPK2	0.010787278	0.174960723	Ex
13170	PPP1R3A	0.010816783	-0.167233534	Ex
13171	CNKSR1	0.010821273	-0.062631021	Ex
13172	MED7	0.010834347	0.088923409	Ex
13173	DPEP1	0.010847114	-0.192392884	Ex
13174	CELF4	0.010847263	0.20866108	Ex
13175	FAM89B	0.010861655	0.460854754	Ex
13176	NDE1	0.010870295	0.24269678	Ex
13177	OSGIN1	0.010879974	0.424327275	Ex
13178	ACTA1	0.010889571	-0.261209096	Ex
13179	SHCBP1L	0.010950173	-0.011473031	Ex
13180	MTRNR2L11	0.010973331	1.233641453	Ex
13181	DENND2D	0.01098237	-0.582365017	Ex
13182	GIF	0.011015379	-0.254918927	Ex
13183	CYP19A1	0.01103765	-0.826717271	Ex
13184	PSMB9	0.01105495	-0.761288739	Ex
13185	GNG13	0.01106825	-0.260818656	Ex
13186	ZCCHC24	0.011143239	0.473728641	Ex
13187	CITED1	0.011164824	-0.012446747	Ex
13188	GFI1B	0.01118521	-0.498727354	Ex
13189	L34079.2	0.011189767	-0.893579529	Ex
13190	ART5	0.011228833	-2.055988243	Ex
13191	MAP1LC3C	0.011229712	-2.593856761	Ex
13192	TSSK6	0.011234866	-1.16562636	Ex
13193	CLEC18A	0.0112357	-0.885817628	Ex
13194	SAG	0.011236551	-0.426575166	Ex
13195	BDH2	0.011238135	-0.367539855	Ex
13196	TNFAIP2	0.011244964	0.084286617	Ex
13197	C21orf91	0.011250654	0.181910753	Ex
13198	TRIM45	0.011257192	0.002862194	Ex
13199	DUSP1	0.011257192	0.519224562	Ex
13200	IQGAP3	0.011273119	-0.948403221	Ex
13201	GJB6	0.011273778	-0.409894488	Ex
13202	C4BPA	0.011310825	-0.351025396	Ex
13203	RAB25	0.011317266	-0.310792356	Ex
13204	PGLYRP3	0.011324949	-1.703567568	Ex
13205	ACSM2B	0.011435444	-1.617387677	Ex
13206	KEL	0.011471727	0.018727947	Ex
13207	FBLN1	0.011515479	0.063196364	Ex
13208	CDKN2A	0.011524327	0.062638474	Ex
13209	HTR3A	0.011559192	-0.196609962	Ex
13210	MYL4	0.011592705	-0.99737439	Ex
13211	CCR3	0.011630047	-0.694248846	Ex
13212	GUCA1C	0.011670952	-0.204946721	Ex
13213	HSD17B8	0.011678078	-1.357307439	Ex
13214	BTNL2	0.01168871	-0.557056132	Ex
13215	VPS37D	0.011700724	0.281660315	Ex
13216	MRVI1	0.011708027	-0.298102565	Ex
13217	CR2	0.011722157	-0.765246677	Ex
13218	HS6ST3	0.01175493	0.104708854	Ex
13219	GRK7	0.011760133	-0.286528239	Ex
13220	LGALS3BP	0.01176494	0.764708077	Ex
13221	EYA1	0.01177813	0.137819556	Ex
13222	MNX1	0.01178088	-0.803850491	Ex
13223	LYPD3	0.011853812	-1.011965518	Ex
13224	DNAJC14	0.011874547	-0.480276046	Ex
13225	INSL3	0.01189907	0.332940552	Ex
13226	SERPINF2	0.011905729	0.288336763	Ex
13227	ACSBG1	0.011906484	0.541157675	Ex
13228	GNG12	0.011987548	-0.030947299	Ex
13229	GOLGA6L4	0.011996728	0.030036622	Ex
13230	DECR2	0.012022077	0.234646554	Ex
13231	C3AR1	0.012127796	-0.298968836	Ex
13232	NIPAL1	0.012206844	0.189301937	Ex
13233	PLCD4	0.012269585	0.209321677	Ex
13234	TRIM77	0.012273621	-0.46018464	Ex
13235	NACC1	0.012280127	0.403872261	Ex
13236	SRCIN1	0.012285782	0.349100338	Ex
13237	CABP5	0.012287135	-0.311218697	Ex
13238	NPIPB3	0.012315945	-0.023913198	Ex
13239	KCNJ11	0.012339722	0.252932594	Ex
13240	ARHGEF39	0.012342474	-0.076138027	Ex
13241	GABRB1	0.012431912	0.136708633	Ex
13242	LPAR3	0.012455823	0.026039425	Ex
13243	GNRH1	0.012457172	-0.104880935	Ex
13244	PITPNM1	0.012493837	0.271479572	Ex
13245	TMEM154	0.012495232	-0.153631854	Ex
13246	CALML4	0.012543303	-0.511335907	Ex
13247	ZDHHC19	0.012569585	-0.007115385	Ex
13248	WIF1	0.012601111	0.251835381	Ex
13249	BARX2	0.012615125	-0.110348819	Ex
13250	RAD51	0.012615726	0.091396276	Ex
13251	SKA1	0.012654616	-0.631297777	Ex
13252	RHNO1	0.012722426	-3.868977297	Ex
13253	TNNI3	0.012727308	-3.215023066	Ex
13254	ZNF316	0.012760603	0.416533295	Ex
13255	PIH1D2	0.012782462	0.432050283	Ex
13256	TBC1D8B	0.012786373	0.275743681	Ex
13257	LRRC7	0.012853256	0.110734489	Ex
13258	GPRC5A	0.012855544	-0.51603546	Ex
13259	ASB16	0.01289616	-0.080780544	Ex
13260	INCA1	0.012932533	-0.217849129	Ex
13261	C3orf20	0.012951356	0.232843195	Ex
13262	SYN3	0.013014511	0.125712157	Ex
13263	ACCS	0.013134722	0.154833372	Ex
13264	ECT2L	0.013178326	0.096354107	Ex
13265	ACSM5	0.013207617	-0.271200767	Ex
13266	RHAG	0.013208314	-0.025666358	Ex
13267	ANXA9	0.013213062	-0.146584752	Ex
13268	CCNB3	0.013241214	-0.200439855	Ex
13269	PLXNB2	0.013268494	0.439498002	Ex
13270	NMI	0.013352416	0.4126156	Ex
13271	SLCO1B1	0.013395022	-1.344485741	Ex
13272	ADCY4	0.013400788	-0.697832615	Ex
13273	DPCR1	0.013406281	-0.995394977	Ex
13274	DOK7	0.01342662	-0.176967028	Ex
13275	RP11-302M6.4	0.013455765	0.198546088	Ex
13276	PELI2	0.013457844	0.176771126	Ex
13277	OLFML2B	0.013461507	0.239301237	Ex
13278	NODAL	0.013461507	-0.137481733	Ex
13279	CDCA7L	0.013475044	0.395969265	Ex
13280	HYAL2	0.013490272	0.405092972	Ex
13281	GFER	0.013507055	0.137708605	Ex
13282	SCNN1A	0.013533424	-0.104631962	Ex
13283	KRTAP9-9	0.013534201	0.365496169	Ex
13284	SNX18	0.0135581	0.096077628	Ex
13285	SLC19A3	0.013583145	-0.178274663	Ex
13286	TBX19	0.013586309	-0.04009886	Ex
13287	MRO	0.013586309	0.128927106	Ex
13288	BOK	0.013600414	0.524878521	Ex
13289	ANPEP	0.013638538	-0.482196766	Ex
13290	CLEC12A	0.01366785	0.221819297	Ex
13291	ADGRG5	0.013719549	-0.53948238	Ex
13292	LAMC3	0.013775558	-0.089736553	Ex
13293	UPK3B	0.013778724	-0.982132206	Ex
13294	TMEM211	0.013778724	0.125195215	Ex
13295	FAM124B	0.013802517	-0.048550572	Ex
13296	P2RY6	0.013813312	-0.262730141	Ex
13297	ANKRD30A	0.013902089	0.341810429	Ex
13298	C5AR2	0.013910714	0.22448962	Ex
13299	MDP1	0.013924218	-0.961563063	Ex
13300	LY6G5C	0.013927218	0.225040519	Ex
13301	FUT1	0.013928485	0.30877936	Ex
13302	ZNF502	0.013982822	-0.010526941	Ex
13303	FBXO5	0.013987527	-0.404883419	Ex
13304	FLG2	0.014006502	-1.271065463	Ex
13305	VTN	0.014025703	-1.524046324	Ex
13306	ACSM1	0.014040259	-0.459279539	Ex
13307	FETUB	0.014042172	-0.095094509	Ex
13308	CSF2RB	0.014042172	-1.058601081	Ex
13309	CARD14	0.014127917	-0.243637691	Ex
13310	ALOXE3	0.014160893	0.234967504	Ex
13311	MSR1	0.014184575	0.150138233	Ex
13312	PRIMA1	0.014253752	0.434372183	Ex
13313	MTRNR2L4	0.014256531	-0.064824498	Ex
13314	FAM86B2	0.014282776	-0.398363087	Ex
13315	LRRC38	0.014287614	0.212701489	Ex
13316	PPEF2	0.014291401	0.306742343	Ex
13317	C1QL4	0.014292563	-1.618146621	Ex
13318	IL1R2	0.014397371	-1.344717156	Ex
13319	HEPACAM2	0.014422108	-1.677591281	Ex
13320	ABO	0.014429931	0.139750224	Ex
13321	TTC30B	0.014501711	-0.281974156	Ex
13322	HORMAD1	0.014542139	0.184149265	Ex
13323	UBE2U	0.01456282	-0.254636894	Ex
13324	HTR3C	0.014631746	-0.556901087	Ex
13325	RNF43	0.014700261	-0.20632432	Ex
13326	LRRC74A	0.014733537	-0.31053907	Ex
13327	DOCK3	0.014792886	0.045625617	Ex
13328	ADA	0.014795573	-0.069320172	Ex
13329	CHRNA9	0.014866111	-0.358768225	Ex
13330	DNAJB13	0.014927687	-0.683339353	Ex
13331	DISP1	0.014941557	-0.534580634	Ex
13332	GCM2	0.014953623	-0.877744153	Ex
13333	REN	0.014976765	-0.599010608	Ex
13334	CARD9	0.015055542	-0.052939548	Ex
13335	WDR6	0.01511794	0.392291454	Ex
13336	HELZ2	0.015181894	0.089184184	Ex
13337	NEK8	0.015188181	0.083004019	Ex
13338	ALPK3	0.015264568	0.046055878	Ex
13339	INSL6	0.015289932	-0.753906732	Ex
13340	ACCSL	0.015351202	-0.626235351	Ex
13341	KCNE2	0.015352479	0.044787743	Ex
13342	HES2	0.015442641	-0.159871283	Ex
13343	PIWIL1	0.015459112	-0.198377357	Ex
13344	CCL17	0.015463709	-0.089622833	Ex
13345	RIBC1	0.015481474	-0.972867132	Ex
13346	CPNE2	0.015482197	0.093737124	Ex
13347	PXT1	0.015496102	-0.014562994	Ex
13348	GPR20	0.015506807	-0.918625639	Ex
13349	CDCP1	0.015512431	-0.137038901	Ex
13350	NTRK1	0.015521392	-0.176406923	Ex
13351	EMILIN2	0.015533479	-0.355820071	Ex
13352	PRODH2	0.015557543	-0.655336925	Ex
13353	CAV1	0.015589663	-0.150367292	Ex
13354	FST	0.015612479	-1.132712398	Ex
13355	TP53TG3C	0.015627571	0.115836257	Ex
13356	FOXM1	0.015631328	-0.70047026	Ex
13357	KRT18	0.015631328	-0.067766695	Ex
13358	CTC-512J12.6	0.015632974	0.160858904	Ex
13359	MROH9	0.015685234	-0.383745793	Ex
13360	ZBTB34	0.015741521	0.404582325	Ex
13361	METRNL	0.015772178	0.203438062	Ex
13362	HSD17B3	0.015785681	-0.524145635	Ex
13363	AGR3	0.015806858	-1.149158685	Ex
13364	MT1A	0.015807432	-0.52452956	Ex
13365	HBB	0.015945749	-2.342211942	Ex
13366	ALOX5AP	0.015984403	-0.387965686	Ex
13367	MSRA	0.016110881	0.171533896	Ex
13368	GLYAT	0.016115021	0.498661922	Ex
13369	CENPN	0.016127499	0.197384995	Ex
13370	LENG9	0.016139683	-0.516518649	Ex
13371	CPT2	0.016147208	-0.841110222	Ex
13372	CLDN2	0.016147208	-0.608336136	Ex
13373	ACPP	0.016190901	-0.303336146	Ex
13374	BTN2A2	0.016209882	-0.087061341	Ex
13375	CCNI2	0.016225272	-0.369645637	Ex
13376	GCM1	0.016277993	-1.344830258	Ex
13377	C9orf50	0.016285102	-0.150539933	Ex
13378	CD28	0.016296843	-1.328926707	Ex
13379	IL17B	0.016325648	-0.28326117	Ex
13380	NXF2	0.016328835	-0.455329456	Ex
13381	CLDN34	0.016330077	-1.339504266	Ex
13382	C18orf54	0.016474782	0.043440487	Ex
13383	CKAP2L	0.016531235	-0.409317434	Ex
13384	AP000350.10	0.01653143	0.084456152	Ex
13385	TNC	0.016573685	0.12474012	Ex
13386	SIM2	0.016590258	-0.291203802	Ex
13387	CTU1	0.016667324	0.028534799	Ex
13388	GDF9	0.016685394	-0.003363838	Ex
13389	PFN4	0.016693072	-0.310120609	Ex
13390	PDLIM3	0.016728221	0.470312141	Ex
13391	LSP1	0.016741921	-0.561830893	Ex
13392	TMPRSS11F	0.016807716	-0.173951994	Ex
13393	PRR19	0.01680803	0.099251493	Ex
13394	ZNF768	0.016891933	0.377650198	Ex
13395	PHGDH	0.016948383	0.303065281	Ex
13396	ZNF311	0.016948383	-0.497796967	Ex
13397	PSG9	0.017034055	0.373702054	Ex
13398	RBM46	0.017052856	-0.318048557	Ex
13399	NEDD8-MDP1	0.01711152	-1.238465845	Ex
13400	ARGFX	0.017114201	-0.508061977	Ex
13401	MICALL1	0.017260232	-0.162306241	Ex
13402	SLC9C2	0.017275352	0.28208756	Ex
13403	GVQW1	0.017290083	-0.643242377	Ex
13404	S100A16	0.017300035	-1.380322698	Ex
13405	PAK4	0.017300035	0.500381752	Ex
13406	ALDH16A1	0.017334005	-0.58857935	Ex
13407	SMARCD3	0.0173931	0.440056558	Ex
13408	ZNF202	0.017404095	0.577053215	Ex
13409	TSGA13	0.017404391	-0.552946405	Ex
13410	PKP3	0.017419165	-0.138246832	Ex
13411	TMUB1	0.017436788	0.495900698	Ex
13412	COL11A2	0.017457498	0.32832443	Ex
13413	LCE3C	0.017464325	-0.354957935	Ex
13414	CD34	0.017466117	-1.539080393	Ex
13415	IL13RA1	0.017466117	-0.322385608	Ex
13416	RAX2	0.017555109	2.178319021	Ex
13417	SEPHS2	0.017593902	0.041613817	Ex
13418	ZDHHC18	0.017651907	0.516189773	Ex
13419	RP11-178L8.4	0.017778582	0.24946802	Ex
13420	FP325317.1	0.017795212	-0.053019027	Ex
13421	CMTM2	0.017799581	-0.278002782	Ex
13422	MSX1	0.017852614	0.178697097	Ex
13423	UCN	0.017871679	0.476451807	Ex
13424	SPTBN5	0.01787835	0.084956061	Ex
13425	CBLC	0.017996117	-0.304874143	Ex
13426	MAOA	0.018031104	0.372685904	Ex
13427	PKHD1L1	0.018036235	-0.438811792	Ex
13428	DTL	0.018052213	-0.17495305	Ex
13429	RBPMS	0.018089869	-0.17953725	Ex
13430	HCN3	0.01809239	0.350697832	Ex
13431	CGA	0.01816677	-0.593825072	Ex
13432	DDN	0.018176749	0.558918554	Ex
13433	ZNF395	0.01818998	0.319187373	Ex
13434	FAM110D	0.01822804	-0.945043817	Ex
13435	C19orf71	0.018293757	-0.02867822	Ex
13436	STOML3	0.018296289	-0.555141769	Ex
13437	LILRB4	0.018314934	-0.466492173	Ex
13438	AC073657.1	0.018337316	-0.970689162	Ex
13439	RFTN2	0.018348823	0.232075174	Ex
13440	RP11-432B6.3	0.018392077	-0.355595647	Ex
13441	TMPRSS15	0.018484042	0.06492111	Ex
13442	CHAC1	0.018485319	0.054102181	Ex
13443	C16orf78	0.01850406	-0.709251358	Ex
13444	NSMF	0.01853695	0.5348225	Ex
13445	CANT1	0.018547227	0.49347664	Ex
13446	LAPTM5	0.018553474	0.283865242	Ex
13447	ARHGAP30	0.018586932	-0.028304281	Ex
13448	C21orf59	0.018598858	-0.464725809	Ex
13449	COPZ2	0.018600294	-0.626862107	Ex
13450	CA6	0.01861424	-0.261037799	Ex
13451	ADAMTS4	0.01861424	-0.154626819	Ex
13452	RENBP	0.018641097	-0.116011432	Ex
13453	DSCR4	0.018671506	-0.170014038	Ex
13454	SLC26A7	0.018760249	0.766296722	Ex
13455	SERTAD1	0.018869364	0.197568423	Ex
13456	CTD-2140B24.4	0.018876389	0.012553905	Ex
13457	ZBTB33	0.018995799	0.021521981	Ex
13458	SEPSECS	0.019037512	-0.052164025	Ex
13459	SHE	0.019037812	-0.678199977	Ex
13460	SLC10A4	0.019107884	-1.001715086	Ex
13461	ASB11	0.019194163	-0.564454943	Ex
13462	PARP9	0.01924226	0.017433521	Ex
13463	PI15	0.019293149	0.573299596	Ex
13464	C1orf100	0.019327972	-0.091818303	Ex
13465	BPIFB1	0.019343755	-0.329668873	Ex
13466	LGI2	0.01935098	0.247053576	Ex
13467	TNFRSF10C	0.019379457	-0.987286525	Ex
13468	CHSY3	0.019389291	0.165910239	Ex
13469	NPIPB9	0.019412199	-1.386207086	Ex
13470	BBC3	0.019579724	0.418612051	Ex
13471	C2CD4C	0.019597378	0.488311451	Ex
13472	FLVCR2	0.019657448	0.169171977	Ex
13473	HRNR	0.019670564	-0.713661511	Ex
13474	CYP4F22	0.019722924	0.079646347	Ex
13475	DGKD	0.019761041	0.309438646	Ex
13476	TPRXL	0.019860366	0.37990851	Ex
13477	LPO	0.019874148	-0.418589772	Ex
13478	EIF3CL	0.019906717	-0.276157539	Ex
13479	CNPY1	0.019928306	-0.016985821	Ex
13480	DGAT1	0.019950351	0.441369919	Ex
13481	HES5	0.019962445	-0.30630986	Ex
13482	FABP9	0.019994376	-1.756171958	Ex
13483	TAL1	0.020022301	-2.539535182	Ex
13484	EXO1	0.020161819	-0.299200564	Ex
13485	RP11-446E24.4	0.02018361	0.192857622	Ex
13486	KRT23	0.020185775	-0.498629562	Ex
13487	MUC4	0.020272828	-0.374239911	Ex
13488	UBTF	0.020296031	0.432005952	Ex
13489	IMPG1	0.020322315	0.1103476	Ex
13490	HNF4G	0.020361934	0.079730746	Ex
13491	NMS	0.020504267	-2.308236015	Ex
13492	AC013269.5	0.020508097	-1.744561977	Ex
13493	TNFRSF1B	0.020516544	-0.423407112	Ex
13494	SLC2A7	0.020522825	-0.041774007	Ex
13495	VANGL2	0.020532149	1.454499612	Ex
13496	ZNF20	0.020546723	0.224475717	Ex
13497	CCL4L2	0.020574298	-0.473091355	Ex
13498	FAM26F	0.020575867	0.214574122	Ex
13499	FOXB1	0.02066008	-0.565334218	Ex
13500	PHACTR1	0.020700524	0.039644802	Ex
13501	NLRP11	0.020750795	-0.80106714	Ex
13502	TMEM114	0.020781766	-0.225441557	Ex
13503	GDF10	0.020831295	0.239141667	Ex
13504	HTR1D	0.02084578	0.821644652	Ex
13505	GPD1	0.02084578	0.225468496	Ex
13506	SPAG17	0.020862779	0.265942927	Ex
13507	LRRD1	0.020907411	0.329310152	Ex
13508	NFKB2	0.020970751	-1.57237704	Ex
13509	GFRA4	0.020984007	-1.276747302	Ex
13510	GRTP1	0.021001354	-0.086049938	Ex
13511	DLX2	0.02102309	-1.284438168	Ex
13512	IAPP	0.021100108	-0.828853347	Ex
13513	TBX20	0.021120508	-0.426987769	Ex
13514	NUP62CL	0.021134925	-0.229352116	Ex
13515	HSPG2	0.021137605	0.303581904	Ex
13516	MUC3A	0.021143971	-0.473649886	Ex
13517	EFS	0.021171955	-0.080208789	Ex
13518	SCNN1G	0.021194204	-0.256026318	Ex
13519	TMSB15B	0.021207306	0.130224441	Ex
13520	KCNG2	0.021239344	-1.344006231	Ex
13521	PLA2G2D	0.02126627	-3.052015034	Ex
13522	TOR4A	0.021268519	-3.049457659	Ex
13523	IGFN1	0.021286065	-1.949289435	Ex
13524	CLPSL2	0.021295095	0.411492773	Ex
13525	PRDM16	0.021320072	0.20559678	Ex
13526	CLCN2	0.021380469	0.271789994	Ex
13527	HIST1H2BJ	0.021380469	0.317479132	Ex
13528	AQP8	0.021510896	0.194183132	Ex
13529	SAXO1	0.021554108	0.294061566	Ex
13530	TLR5	0.021557728	0.448931377	Ex
13531	H1FX	0.021598734	0.56643455	Ex
13532	DRICH1	0.021616837	0.194367241	Ex
13533	ANXA10	0.02162867	-0.302275861	Ex
13534	SYNE3	0.021740283	0.181369029	Ex
13535	KLK15	0.021835243	-0.484480283	Ex
13536	PROX2	0.022073163	-0.448171276	Ex
13537	PRELP	0.022220999	0.390027755	Ex
13538	C11orf53	0.022266713	-0.979768785	Ex
13539	ONECUT3	0.022363965	-1.071550659	Ex
13540	SELV	0.022456568	-0.312272377	Ex
13541	TIFA	0.022486467	-0.128158876	Ex
13542	ANKRD2	0.02248794	0.246055047	Ex
13543	LRRC45	0.022487994	0.266560483	Ex
13544	NLRP10	0.022500431	0.234760235	Ex
13545	SERTAD3	0.022524975	0.10946843	Ex
13546	PXN	0.022540041	0.427055189	Ex
13547	TMEM115	0.022583384	0.358015995	Ex
13548	SULT1C4	0.022636683	-0.00122717	Ex
13549	MAPK10	0.022636683	0.04073621	Ex
13550	CCDC33	0.022696109	0.083471334	Ex
13551	GPRIN2	0.022910764	-0.66753735	Ex
13552	INSM1	0.022942254	0.27531693	Ex
13553	RTP5	0.022979231	0.709053695	Ex
13554	SDS	0.023026714	-0.226119039	Ex
13555	HBM	0.023048348	-0.774300829	Ex
13556	HK3	0.023049247	-0.651519717	Ex
13557	USP35	0.023103841	0.347795594	Ex
13558	LCN8	0.02324648	-0.374130304	Ex
13559	CCDC121	0.023319888	-0.218496185	Ex
13560	FAM181B	0.023362739	0.207664403	Ex
13561	NEUROD2	0.023498222	0.345413862	Ex
13562	ASIC4	0.023521747	-0.239697913	Ex
13563	COL4A6	0.023521747	0.409837049	Ex
13564	FNDC1	0.023532786	-0.168067267	Ex
13565	C6orf201	0.023533676	-0.286971302	Ex
13566	INSM2	0.023607171	0.169672093	Ex
13567	KLF16	0.023622934	0.485167547	Ex
13568	TRAF4	0.023654196	0.058671777	Ex
13569	CETP	0.02391704	-0.933077718	Ex
13570	CSNK1A1L	0.023925723	-0.365707453	Ex
13571	NPAP1	0.023950477	-0.56333971	Ex
13572	TMCC3	0.023960639	-0.225377426	Ex
13573	CADM1	0.023961054	0.230901217	Ex
13574	RP11-310N16.1	0.024054324	-0.338648929	Ex
13575	WAS	0.024120607	-0.019452481	Ex
13576	SIGLEC9	0.024181781	-0.484842801	Ex
13577	SLC17A2	0.024263653	-1.179608452	Ex
13578	DDIAS	0.024304975	-0.828646606	Ex
13579	MYBL2	0.024335784	0.361351283	Ex
13580	ADAMTS1	0.024352817	0.016585717	Ex
13581	TMEM229A	0.024389896	0.16738734	Ex
